"","X","TCGA.04.1348","TCGA.04.1357","TCGA.04.1362","TCGA.04.1514","TCGA.04.1519","TCGA.09.1662","TCGA.09.1666","TCGA.09.1670","TCGA.09.1673","TCGA.09.1674","TCGA.09.2044","TCGA.09.2045","TCGA.09.2051","TCGA.09.2054","TCGA.09.2056","TCGA.10.0936","TCGA.13.0799","TCGA.13.0800","TCGA.13.0801","TCGA.13.0897","TCGA.13.0899","TCGA.13.0916","TCGA.13.0920","TCGA.13.1405","TCGA.13.1410","TCGA.13.1481","TCGA.13.1498","TCGA.13.1505","TCGA.13.1506","TCGA.13.1507","TCGA.13.1511","TCGA.13.1512","TCGA.13.2060","TCGA.20.1682","TCGA.20.1683","TCGA.20.1684","TCGA.20.1685","TCGA.20.1687","TCGA.23.1109","TCGA.23.1111","TCGA.23.1122","TCGA.23.1123","TCGA.23.1809","TCGA.23.2077","TCGA.23.2081","TCGA.24.1103","TCGA.24.1416","TCGA.24.1417","TCGA.24.1419","TCGA.24.1423","TCGA.24.1424","TCGA.24.1427","TCGA.24.1428","TCGA.24.1430","TCGA.24.1436","TCGA.24.1467","TCGA.24.1469","TCGA.24.1474","TCGA.24.1544","TCGA.24.1548","TCGA.24.1549","TCGA.24.1550","TCGA.24.1551","TCGA.24.1552","TCGA.24.1553","TCGA.24.1555","TCGA.24.1556","TCGA.24.1557","TCGA.24.1558","TCGA.24.1560","TCGA.24.1562","TCGA.24.1563","TCGA.24.1564","TCGA.24.1567","TCGA.24.1603","TCGA.24.1604","TCGA.24.1616","TCGA.24.1842","TCGA.24.1844","TCGA.24.1846","TCGA.24.1850","TCGA.24.1924","TCGA.24.1930","TCGA.24.2020","TCGA.24.2023","TCGA.24.2024","TCGA.24.2026","TCGA.24.2027","TCGA.24.2033","TCGA.24.2036","TCGA.24.2038","TCGA.24.2254","TCGA.24.2261","TCGA.24.2262","TCGA.24.2267","TCGA.24.2271","TCGA.24.2281","TCGA.24.2288","TCGA.24.2290","TCGA.24.2297","TCGA.24.2298","TCGA.25.1312","TCGA.25.1313","TCGA.25.1314","TCGA.25.1315","TCGA.25.1316","TCGA.25.1318","TCGA.25.1319","TCGA.25.1321","TCGA.25.1322","TCGA.25.1323","TCGA.25.1326","TCGA.25.1328","TCGA.25.1329","TCGA.25.1623","TCGA.25.1625","TCGA.25.1627","TCGA.25.1630","TCGA.25.1631","TCGA.25.1632","TCGA.25.1633","TCGA.25.1635","TCGA.25.2391","TCGA.25.2393","TCGA.25.2396","TCGA.25.2397","TCGA.25.2399","TCGA.25.2400","TCGA.25.2404","TCGA.25.2409","TCGA.29.1688","TCGA.29.1690","TCGA.29.1691","TCGA.29.1693","TCGA.29.1694","TCGA.29.1695","TCGA.29.1696","TCGA.29.1697","TCGA.29.1699","TCGA.29.1701","TCGA.29.1702","TCGA.29.1703","TCGA.29.1711","TCGA.29.1761","TCGA.29.1762","TCGA.29.1776","TCGA.29.1778","TCGA.29.1781","TCGA.29.1783","TCGA.29.1785","TCGA.29.2425","TCGA.29.2427","TCGA.29.2428","TCGA.30.1718","TCGA.30.1855","TCGA.30.1860","TCGA.30.1891","TCGA.31.1944","TCGA.31.1951","TCGA.36.1568","TCGA.36.1570","TCGA.36.1571","TCGA.36.1575","TCGA.36.1577","TCGA.36.1578","TCGA.36.1580","TCGA.36.1581","TCGA.59.2348","TCGA.59.2351","TCGA.59.2352","TCGA.59.2363","TCGA.61.1721","TCGA.61.1724","TCGA.61.1733","TCGA.61.1736","TCGA.61.1738","TCGA.61.1740","TCGA.61.1741","TCGA.61.1743","TCGA.61.1900","TCGA.61.1907","TCGA.61.1910","TCGA.61.1914","TCGA.61.1918","TCGA.61.1919","TCGA.61.1995","TCGA.61.2000","TCGA.61.2009","TCGA.61.2012","TCGA.61.2088","TCGA.61.2092","TCGA.61.2094","TCGA.61.2098","TCGA.61.2102","TCGA.61.2104","TCGA.61.2109","TCGA.61.2111","TCGA.61.2113"
"1","ACACA_v1",2.7465,1.7817,3.1331,7.7577,3.8933,3.228,3.5726,5.5824,5.7265,7.4236,5.3277,4.9892,4.9423,7.9418,3.3446,3.501,5.5545,10.5877,2.5589,2.1388,3.9342,8.0936,4.7038,6.1316,5.2435,6.6217,1.781,5.4125,3.4449,1.4517,25.447,2.3212,4.6145,4.4394,3.5273,5.3143,6.8725,2.6515,2.3483,4.049,7.7008,3.499,3.9085,5.0793,4.2419,9.2213,4.1502,4.3072,5.1064,4.2006,4.7435,3.3358,4.2752,3.8736,3.7086,8.2712,4.7897,8.6417,4.2452,9.5763,4.17,2.9885,5.8287,4.079,2.0701,3.114,7.1033,4.2622,8.7362,4.4822,3.6124,3.6252,6.8267,3.2998,3.3914,5.6662,4.8875,4.6466,4.7094,2.4757,7.3223,3.0755,3.8053,3.7357,6.7739,2.3823,7.6352,4.1469,4.5693,11.2503,3.1642,4.8768,13.606,5.569,6.2832,4.4089,4.2529,9.5043,7.63,4.0344,7.2569,4.7819,4.3142,6.4812,3.4393,7.0581,7.9124,13.8961,4.3933,5.9643,3.5812,7.9191,5.5187,3.3094,8.9394,6.2878,7.5064,3.9527,5.7275,2.9264,3.7404,9.8494,3.6474,4.8353,5.3982,5.8224,5.0563,8.4088,5.8065,2.7642,8.2798,2.2788,9.3629,2.3326,3.4998,9.0672,1.7415,7.664,8.9049,2.2786,5.9338,3.5425,6.3924,1.7317,4.2073,2.6166,5.5277,2.05,3.9461,2.4136,2.8766,3.3079,2.2972,3.3313,7.5735,2.7458,2.4067,2.8414,5.2849,5.9194,2.5287,6.9934,9.4833,4.2376,4.26,4.3724,13.8336,5.4663,8.07,6.5284,8.932,3.1572,5.4293,2.5395,5.748,4.9787,4.7066,9.5339,6.4965,7.7924,2.236,5.5674,9.2599,5.0978,5.7505,6.6422,11.2762,2.7406,2.3611,5.6282,8.3382,5.176,15.1775,11.4884,8.191,4.6518,4.2547,10.7449
"2","AKT1_v1",59.0196,56.3896,35.2372,53.8846,53.767,78.4701,48.0689,33.1866,20.1506,29.8388,34.7368,120.8876,58.7202,56.8982,16.6745,33.929,27.9592,40.6281,49.8227,39.3215,64.6509,121.8715,42.6222,41.257,67.8324,42.7491,27.5777,58.4864,44.3173,24.0098,55.8527,39.3544,50.162,47.7575,19.9934,41.7805,36.364,33.5688,50.4768,29.064,60.7092,37.8957,62.064,27.5665,66.5582,97.8706,47.9572,40.2051,423.1873,57.1974,40.3318,61.8326,61.4071,56.8578,39.4709,53.5651,40.0644,39.5155,83.5887,40.3416,89.5371,23.8887,32.0188,41.0831,40.6332,51.8493,40.323,60.698,28.4092,52.2968,43.6874,29.0245,37.4391,46.051,47.972,40.0592,62.0681,56.1396,64.1086,53.7913,35.1003,81.1041,79.7103,52.7211,106.9214,54.1342,46.0261,40.2464,34.2148,27.8866,30.0526,61.5759,48.5164,40.42,55.6053,60.7583,62.8347,22.7687,55.2434,84.0981,33.6711,32.0084,72.4078,34.9176,42.9905,40.9702,35.3365,34.9671,25.5564,82.5937,38.9218,70.0574,42.2555,28.3058,34.6153,43.9542,28.447,46.373,49.7573,45.0231,46.0033,38.0279,47.1328,20.0721,36.9988,25.7287,44.4207,91.6665,34.878,48.6217,68.8143,29.1051,64.5526,24.1015,53.2711,41.28,29.2958,64.2057,40.9314,32.0305,60.0071,30.6846,60.5169,8.9663,110.8136,55.1172,48.4507,20.436,54.4384,34.5929,23.658,27.6407,44.738,61.3059,53.9045,79.1282,28.9251,35.8441,144.5992,52.4134,74.0428,26.9205,23.8671,58.3277,21.9065,29.0782,65.035,106.4536,54.7141,40.6204,36.4209,25.7962,33.2128,23.726,65.8039,37.4559,73.5051,23.2201,91.4365,70.2348,67.2785,34.3423,30.7904,71.4744,40.8487,48.0146,28.5678,20.3257,44.091,31.3446,65.2032,50.9911,36.55,39.6011,20.6074,69.1698,43.5193,45.9246
"3","AKT2_v1",38.4897,20.8841,26.0161,19.7833,19.4978,33.9633,30.1146,16.4788,15.3694,137.8677,23.4937,32.4879,31.1121,20.9753,13.5614,24.1026,31.7012,81.8055,26.1752,24.1052,13.349,19.1859,25.4557,35.304,50.3083,17.6521,18.6724,18.1451,50.6231,45.7288,20.8913,18.2518,15.5976,14.527,25.79,27.6527,29.5212,18.8138,18.1836,33.207,24.7698,22.3247,48.0439,23.6078,35.5357,25.1446,30.8668,32.058,31.6262,18.5969,18.213,30.8568,29.2737,39.5485,31.9,17.8417,56.9753,20.1836,74.9459,73.1489,22.0427,14.374,19.5876,22.2528,18.8643,32.2885,26.9767,45.1347,91.1586,17.255,33.4174,18.9535,18.6128,37.3211,35.0784,15.9266,29.317,33.1819,14.2319,16.2572,114.3655,23.5345,28.1305,34.2097,36.7444,25.4496,28.1408,57.5388,41.4461,38.4834,19.9868,19.2489,166.0998,22.016,42.9347,35.694,28.3126,32.7084,36.3019,33.5321,29.255,90.5591,26.6768,28.7285,13.3075,18.8178,29.3,22.0348,47.3777,33.8339,55.6611,30.4904,22.4662,50.6792,25.1621,38.38,46.9049,28.1031,36.6588,39.2391,18.6127,221.6432,25.5612,17.0204,35.141,30.9214,40.1456,14.2701,31.9221,34.4307,26.859,12.1175,39.0219,24.5178,14.2502,38.0137,17.4062,59.2589,110.2722,27.8532,27.871,20.1136,17.2438,21.9509,37.5653,34.4814,17.5413,27.5196,28.9664,31.8293,21.5214,22.1139,33.7212,37.8908,10.594,32.509,11.5953,20.5246,37.3636,27.4797,22.3629,14.5135,56.5099,23.5186,31.3697,18.3204,18.5503,38.2407,29.9944,33.4528,35.298,18.5068,33.4102,19.6235,30.6669,39.3042,33.1405,157.701,27.1296,27.2876,14.3645,32.4591,25.1426,23.8943,23.659,38.011,11.6778,18.1342,22.1914,42.5825,36.0667,20.7456,138.6389,24.4558,30.7179,37.6701,27.8786,28.7837
"4","AKT3_v1",1.1253,1.3015,0.3474,1.5601,1.1095,4.9883,3.6885,0.6854,10.0272,11.558,11.2197,1.8878,0.7497,1.3741,5.4754,0.3638,11.2518,1.5752,1.3359,1.984,0.3977,4.8064,1.8861,7.6069,1.2793,2.1719,9.5453,2.1595,0.5447,1.1029,2.5738,6.8152,2.4805,2.0279,21.68,10.9991,0.94,0.9014,3.8059,0.8064,3.9721,0.6112,2.5882,4.1805,1.269,0.6876,0.4716,1.6265,0.4366,6.7597,2.2268,6.1082,0.8934,6.3724,4.3824,0.7905,8.5384,8.8324,0.2606,0.7232,5.0789,0.8063,5.1251,0.5224,14.4627,0.2541,6.9868,1.6882,1.4036,1.0295,1.4721,2.504,3.2234,0.6043,7.2248,1.1714,0.4791,1.8452,0.9876,0.8471,1.1891,0.9663,1.4058,2.4038,0.4559,0.8621,2.1103,1.5199,1.2601,1.4867,8.8735,6.476,1.7711,2.4256,3.6648,2.1397,1.2319,1.7099,1.043,1.7394,16.2308,1.1121,3.4283,1.0035,0.8319,0.4284,2.102,0.9509,0.8843,2.3983,1.8228,2.6622,9.8368,1.6684,3.5568,2.5973,1.7642,5.8973,1.1586,0.634,2.891,2.1591,0.3965,0.5986,10.2431,0.4885,1.5938,0.677,2.2963,4.1074,1.9345,6.4981,1.1498,2.8216,4.7449,2.925,0.4446,1.2474,2.448,1.0986,0.3393,8.7393,6.8421,4.0684,1.1906,1.3762,0.8875,0.8344,1.3152,1.0792,0.6542,1.4217,0.6266,3.2891,6.4587,1.0874,2.4738,1.7155,1.9736,1.1151,1.0434,1.0208,0.8364,1.5994,2.1067,7.9698,1.3623,9.4928,2.2388,1.9573,0.8299,19.5984,1.5602,20.9223,1.9178,2.0177,3.5037,1.084,0.6472,3.0523,0.3931,0.5637,0.9588,2.3764,2.3158,0.7559,4.5113,1.9027,2.2651,0.4722,0.3037,2.2127,1.4301,3.0774,3.4043,0.5127,1.4318,1.9655
"5","ANXA1_v1",77.4788,120.5428,303.1342,8.0768,6.9349,98.7677,194.7176,45.3024,40.6572,15.6534,46.6147,69.4086,105.1534,18.3774,73.6894,26.7625,72.8353,70.8969,87.243,374.9877,67.4123,9.7304,76.3519,104.9576,43.7562,156.6225,112.7012,58.2253,31.8322,98.3919,103.6239,170.2862,168.7544,72.0629,21.1546,140.2608,39.5573,190.627,91.7572,148,93.2714,15.3978,74.069,58.6137,226.3975,170.4209,161.3875,57.4086,11.9988,153.5293,78.2905,63.5119,119.0576,114.2399,68.8511,179.8956,23.3238,78.0235,83.3608,22.9297,146.3658,71.7242,122.663,144.0367,123.8785,125.064,130.6923,62.6275,10.7525,16.7693,36.1042,207.0748,80.7182,88.5647,83.255,97.7395,21.6361,130.1791,94.0074,116.6372,34.8651,32.8299,53.8925,9.2121,141.858,132.9531,110.8541,43.0398,27.2821,145.577,152.5771,177.7023,61.5493,53.1939,94.9433,57.1462,48.8927,57.3556,37.6043,159.97,175.6756,65.2097,362.0945,108.4768,77.1554,2.4767,66.7482,55.5648,133.683,107.3271,33.3311,76.4849,134.0791,59.5576,61.2162,319.0438,28.7354,199.2351,65.8785,169.3097,116.4875,137.9011,133.7923,22.073,21.9115,161.3706,99.1589,61.6633,363.2728,115.2866,75.0354,412.8428,88.7363,47.7548,355.3856,41.1217,307.7407,16.3454,45.6758,52.109,76.6648,279.9464,119.4723,38.8509,69.5077,126.4368,171.5374,22.8888,79.6381,49.5329,109.4144,63.7735,14.7109,260.1088,81.0686,128.1951,219.5325,85.1851,43.3317,77.2965,193.2813,137.3732,14.0161,45.4443,145.713,94.7463,23.1263,41.116,32.0566,21.6232,15.9302,80.2421,56.2974,73.0639,164.403,85.3265,17.1517,46.4883,70.9659,41.9304,66.3587,84.7145,51.4812,48.0427,98.1266,57.9611,16.8324,44.3512,93.0954,19.0007,353.3099,48.8629,32.6719,16.1568,117.3197,74.2048,31.3557,198.5961
"6","AR_v1",0.8918,1.8014,1.1988,4.6952,10.8034,4.0426,5.1877,10.673,3.9569,0.6623,0.0742,3.3162,4.2935,0.128,0.1008,0.7939,4.5662,1.4937,2.3657,0.1246,0.0631,3.8323,0.725,3.8181,2.4576,0.2923,1.4785,2.9834,1.832,0.278,4.9976,0.1043,2.7228,0.2101,1.1688,6.2026,8.0142,2.1586,1.6996,1.3256,3.1276,1.0144,0.3055,9.217,0.6568,2.4438,2.9508,1.8501,8.0972,4.0334,3.6065,4.36,0.6866,13.2314,1.6981,4.2111,4.6242,0.7573,2.5916,7.9141,0.3815,0.6705,3.4627,0.1336,2.0094,9.7926,5.2529,1.0418,0.448,4.6895,7.2502,2.3707,0.4566,3.8838,9.3245,7.7395,19.3652,3.8681,3.5,3.7627,0.9031,4.727,0.3529,0.5437,2.7804,6.8587,3.2622,0.7066,1.9124,4.8244,3.113,7.7082,4.7264,0.1374,9.4042,0.8376,4.6517,0.9758,0.0582,2.4649,2.7073,1.0676,12.566,7.5968,4.2946,0.1332,4.0709,7.7367,7.3404,1.3155,1.9933,0.4686,8.4255,0.2002,0.5418,0.7936,1.0588,2.7037,1.398,0.9377,2.2143,3.2578,3.6108,1.2263,4.7913,6.6572,4.3749,11.4921,2.303,0.2462,3.2845,1.8707,0.8286,1.9886,0.7834,3.9833,0.9894,0.6431,1.3462,0.3647,1.4417,1.3456,0.1072,2.4563,2.7913,8.882,6.3634,0.3906,2.9339,0.1226,5.0497,0.2784,0.0346,4.6992,1.1276,0.0245,0.6328,0.4975,7.7721,0.7981,2.8905,3.4859,16.3228,7.5247,10.8544,2.1856,2.8929,5.6609,10.8745,7.1004,2.8874,4.1212,0.9808,1.8823,7.596,1.3119,0.243,5.2342,4.8106,5.6501,0.747,0.1895,1.6366,4.463,0.5879,6.3206,0.0799,0.1362,1.4555,6.7437,4.6747,0.8418,2.5656,0.1177,2.5603,1.7992,7.6,0.3272
"7","BAX_v1",20.9399,26.1528,10.2788,12.9121,20.063,23.277,23.2957,31.1362,7.8621,13.4792,58.1783,23.1892,26.3113,21.8512,55.0322,26.7395,18.6926,25.9076,57.2409,19.0623,17.042,24.1979,34.685,28.3109,48.4046,21.11,15.1732,19.0581,19.0784,26.2829,12.997,35.9848,26.6113,18.963,22.7016,11.5004,18.6128,16.8217,37.9457,28.2404,20.8026,33.4661,62.3084,27.0921,17.2649,28.5489,28.74,36.9681,28.8013,14.0704,20.7374,19.8843,24.5423,21.3131,26.7633,11.7767,26.6969,20.0662,22.4364,12.7031,11.593,20.0979,19.0951,15.6487,24.9409,17.9379,32.5033,21.4153,16.6253,18.6044,27.1519,23.3115,23.9838,27.9263,18.5605,19.2407,14.5093,24.8115,16.5546,23.9024,54.0807,41.493,27.6146,33.864,13.9079,19.8972,32.8051,26.5327,32.1195,17.9334,29.5225,25.5013,23.4783,23.1793,29.0401,25.3097,25.7526,31.8415,28.5312,20.1968,22.8224,19.1547,22.9258,15.0857,24.1985,21.3294,20.4065,17.4937,16.5747,23.2867,25.0457,24.5097,30.2393,37.7178,20.3193,15.2151,26.5413,30.0383,18.4189,10.0733,12.8458,23.6743,35.3402,26.1916,34.5098,41.0688,19.9263,21.4954,28.2639,19.0291,30.8642,22.9025,30.6084,23.3527,17.0238,30.3626,20.228,17.3415,15.4265,49.7339,25.8452,22.0864,18.105,42.8551,46.6032,19.202,17.6144,47.5526,10.8516,31.7246,12.2014,32.4924,46.8067,36.7808,15.2927,51.1351,15.9537,17.6348,23.5602,17.6354,23.0729,13.3748,22.8646,17.4276,20.365,25.9882,23.1233,34.5129,31.9203,31.5187,32.0666,18.0307,19.7443,32.3199,23.1519,32.7038,26.8196,24.8152,19.2081,23.8149,21.4158,20.4093,47.1305,14.04,34.4858,20.5248,14.8365,33.3589,27.7853,24.4777,26.3834,14.003,21.613,31.9193,27.2259,24.5438,20.5235,35.3981
"8","BCL2_v1",0.6704,3.9945,0.8274,8.8969,1.8706,1.2217,1.3119,2.3246,5.0672,1.7328,0.7134,2.6352,1.4872,0.9929,0.3655,0.3089,1.7902,2.4991,0.6663,0.5646,0.5072,10.8516,0.6751,0.6544,0.8914,1.1015,1.5837,1.6813,0.3939,0.3251,0.4062,0.2919,0.6046,0.9908,0.7667,5.561,1.1396,4.3225,1.3742,1.0831,0.9426,3.3203,0.3103,2.3539,0.7595,0.8375,2.262,1.2388,5.8209,1.9733,3.5429,0.9527,0.9389,4.094,1.5608,3.9649,0.4394,3.019,2.5325,1.435,0.5976,2.0981,13.6905,0.2167,5.7093,2.9925,3.029,1.5633,0.4254,0.8428,3.246,0.5858,1.6443,4.7919,0.9456,4.6451,2.0248,2.203,1.1532,3.3535,3.6254,0.9709,1.8246,0.1813,0.7274,0.5611,0.6966,1.0325,2.4885,2.3153,2.4766,4.2946,1.9375,0.6851,2.2134,1.226,0.7575,1.2246,4.3575,0.5055,0.3924,1.357,1.4953,1.1293,0.5746,0.8235,1.1369,1.6419,0.7607,2.4629,3.4522,0.6375,2.8893,0.9044,1.8643,1.4935,0.5639,1.1221,2.4141,0.2827,0.9149,1.6059,2.5018,0.9453,2.7688,0.805,0.8813,3.0533,0.5731,1.118,7.5568,0.699,0.8453,0.351,1.6444,2.3046,1.3787,0.4568,0.7182,0.3398,3.6155,2.3486,1.1104,1.0823,1.0764,1.8968,3.8563,1.2546,3.4206,0.7025,1.941,1.3795,0.3241,0.6864,0.8228,1.8011,0.6579,0.5518,1.88,0.8638,1.9486,2.1507,0.4946,3.5915,3.0273,0.8265,2.9257,0.3591,1.9477,1.1436,2.9136,4.8432,0.7005,1.3689,3.4303,0.5342,0.8295,3.9561,0.8293,7.9971,1.4392,1.8212,0.387,1.753,0.6614,2.7607,1.0724,1.2372,0.7794,26.74,0.181,3.4761,2.9794,3.3114,1.3332,1.5495,0.8163,0.6821
"9","BCL2L1_v1",82.5929,85.8818,70.9154,53.7558,98.8166,80.0236,83.0944,70.6422,30.6591,50.9326,66.0643,69.4255,38.2047,40.5781,92.7248,80.54,48.3036,48.3531,34.5981,85.796,90.3837,51.4597,99.8125,83.1723,196.8498,87.272,46.4277,43.2825,64.5973,91.234,78.7126,49.2815,57.8883,45.5224,79.2461,48.0958,57.7607,56.7699,281.4347,111.0758,57.4721,75.2375,47.1922,57.958,58.4527,60.7605,70.5006,83.3092,58.2178,98.7468,83.0175,95.3507,87.7509,72.0288,121.9874,49.9693,77.9867,44.0029,81.1052,71.5458,65.1686,35.8331,48.6924,80.7321,108.0856,54.1372,44.1683,57.2065,68.467,39.9257,73.8948,45.4048,40.7727,77.6412,43.6264,104.9999,50.8038,57.4055,62.3456,71.1143,55.0765,72.0849,82.8847,63.457,67.5047,64.2362,74.108,145.1284,73.104,57.5805,63.2702,69.2091,64.0496,58.7345,75.0911,100.4218,68.4633,132.5533,52.8175,69.5137,75.8619,66.6679,71.1143,77.3681,50.8176,32.6794,122.3142,86.8847,118.596,85.8536,90.417,46.4336,91.9633,131.2009,64.6909,73.4796,93.3925,60.1645,89.9551,119.8114,65.4945,54.0128,76.3782,49.5561,92.1132,89.2303,45.4085,48.068,81.5907,112.9619,34.8616,96.3923,66.4223,72.8836,60.9721,79.6941,50.573,43.6839,98.8755,72.2963,64.9869,85.7734,44.7165,39.1467,75.2388,66.7827,62.3121,70.7837,110.7814,136.1472,86.8402,70.2809,120.4344,72.425,66.2656,55.3439,54.3322,51.6975,124.9992,65.1542,59.1351,79.9553,196.6072,54.4959,49.3661,80.8597,33.1074,120.8618,75.2923,73.9843,66.302,31.4588,113.3554,173.4115,65.4422,37.7369,45.3718,227.4048,94.8968,91.6371,44.0005,69.0049,83.4217,68.5514,54.6243,42.7855,47.1704,96.8151,96.6556,34.7941,29.7832,55.4628,131.43,30.3222,75.4115,64.1828,78.8183,60.6136
"10","BCL2L11_v1",9.0573,10.9729,13.1095,18.2697,2.425,5.4548,9.2956,12.6716,8.2561,15.8203,8.0088,11.5287,13.0893,8.0058,5.3639,4.1137,8.8252,10.0562,3.0319,7.8172,8.7409,9.3778,10.9743,11.0159,14.279,9.7129,3.9289,11.2722,7.3089,4.9655,7.9167,4.7286,10.0502,10.141,12.4929,14.6308,16.703,7.5161,15.8262,6.5425,13.1874,18.8133,16.2539,8.426,14.1346,8.2394,14.2668,12.7407,9.0105,15.1476,17.0688,8.8111,12.1939,10.9536,18.4718,16.0423,12.9163,18.3653,10.5999,13.7045,11.1478,12.7002,19.5506,11.4582,13.0894,12.7629,10.4863,10.2695,18.703,13.2992,12.7831,9.711,12.4056,13.1437,14.5565,9.7927,16.5119,9.8785,14.9826,11.8676,23.8967,11.6274,9.8502,7.3728,13.6305,7.076,14.8073,8.6677,7.5136,11.688,3.7009,15.767,13.6525,17.8526,11.1942,11.0699,5.8493,13.6179,12.0371,17.8051,7.3719,8.8233,22.4571,10.7271,13.2697,3.7726,18.1089,10.668,16.8323,18.3596,15.5506,8.7368,5.4314,13.2855,11.0146,6.8417,10.0506,11.3495,8.7444,6.845,7.0152,6.3917,9.4687,7.0534,10.1489,7.7196,9.5015,15.1454,9.5207,5.0768,11.6319,7.8959,11.6765,4.5215,9.2917,15.971,5.8487,8.3638,15.6364,5.0918,4.444,3.9936,11.185,6.2482,11.5719,8.798,8.5152,10.6997,13.7252,14.3964,11.6902,5.6082,9.2248,9.2188,8.8634,5.5564,3.4965,7.8393,11.0307,9.2907,12.0554,17.9278,27.1482,11.0515,15.5657,6.5133,12.9711,9.3506,11.4648,6.0913,13.4635,4.7672,16.7399,12.0252,18.7512,6.0079,7.6299,17.5833,10.4301,24.7276,7.2106,4.9208,8.0983,11.4842,5.742,18.2693,12.3542,4.7357,10.557,13.894,4.881,12.7053,12.1775,5.394,12.6851,11.0249,11.0444,11.0339
